Fecha,Gasolina regular
2001-01-01,177776.5000000001
2001-02-01,123115.9900000001
2001-03-01,161726.41999999987
2001-04-01,127338.74000000006
2001-05-01,168730.19000000003
2001-06-01,152899.08999999994
2001-07-01,136299.13
2001-08-01,139365.07000000012
2001-09-01,233643.75000000006
2001-10-01,141550.21999999988
2001-11-01,165841.4599999999
2001-12-01,149217.6700000001
2002-01-01,178585.93000000008
2002-02-01,144447.25000000003
2002-03-01,104673.64000000003
2002-04-01,190339.00000000006
2002-05-01,194830.10000000018
2002-06-01,137050.80000000002
2002-07-01,222407.99999999985
2002-08-01,143795.00000000012
2002-09-01,156956.89999999985
2002-10-01,195426.79999999984
2002-11-01,153185.70000000013
2002-12-01,167596.70999999996
2003-01-01,228269.5000000001
2003-02-01,214490.69999999998
2003-03-01,161257.47999999992
2003-04-01,189824.8899999999
2003-05-01,269981.8599999998
2003-06-01,182254.2299999999
2003-07-01,133668.20000000007
2003-08-01,169903.85999999987
2003-09-01,177217.53000000012
2003-10-01,181668.03
2003-11-01,205624.08000000005
2003-12-01,161477.7299999999
2004-01-01,173427.23000000016
2004-02-01,147939.22999999998
2004-03-01,275539.3800000001
2004-04-01,245156.3399999999
2004-05-01,178387.8
2004-06-01,133340.99999999994
2004-07-01,152075.75000000012
2004-08-01,208592.85000000015
2004-09-01,218499.23999999985
2004-10-01,201907.66999999993
2004-11-01,215838.32000000004
2004-12-01,227094.71000000002
2005-01-01,202374.33000000002
2005-02-01,178104.72
2005-03-01,217667.69000000015
2005-04-01,234492.0299999999
2005-05-01,192734.4000000001
2005-06-01,243343.68
2005-07-01,175946.30000000008
2005-08-01,173810.37999999986
2005-09-01,81015.30000000006
2005-10-01,145325.64999999988
2005-11-01,266018.36999999976
2005-12-01,107374.00000000004
2006-01-01,348503.8499999998
2006-02-01,145048.2000000001
2006-03-01,285783.25000000023
2006-04-01,238824.61000000002
2006-05-01,134212.30000000002
2006-06-01,211562.73999999985
2006-07-01,180942.1799999999
2006-08-01,147245.49
2006-09-01,366193.7699999999
2006-10-01,153997.34999999998
2006-11-01,171327.0099999999
2006-12-01,234319.2999999998
2007-01-01,289550.59
2007-02-01,299077.0399999998
2007-03-01,326317.74999999977
2007-04-01,94844.90000000001
2007-05-01,238404.83000000013
2007-06-01,170064.98000000013
2007-07-01,227660.4699999999
2007-08-01,351306.2699999998
2007-09-01,181015.83000000013
2007-10-01,312120.18000000005
2007-11-01,289282.5499999998
2007-12-01,222108.34999999992
2008-01-01,107885.6499999999
2008-02-01,234830.09999999983
2008-03-01,241800.33000000016
2008-04-01,271554.2699999999
2008-05-01,242628.16000000006
2008-06-01,177838.69999999998
2008-07-01,232129.20000000013
2008-08-01,138376.71999999988
2008-09-01,290621.2600000001
2008-10-01,358036.44000000006
2008-11-01,170365.3200000001
2008-12-01,238398.9200000001
2009-01-01,202484.53000000006
2009-02-01,588346.3600000003
2009-03-01,298459.25
2009-04-01,182218.95999999993
2009-05-01,377337.47999999975
2009-06-01,363676.2899999998
2009-07-01,363911.5100000002
2009-08-01,210495.68000000002
