Fecha,Gas licuado de petróleo,Gasolina regular,Gasolina superior,Diesel alto azufre,Total importación
sep-07,"183,484.88","181,015.83","336,120.81","497,008.84","1,874,056.60"
oct-07,"486,194.88","312,120.18","376,377.75","885,924.86","2,570,638.07"
nov-07,"148,627.36","289,282.55","512,550.51","665,114.83","1,773,085.00"
dic-07,"371,098.40","222,108.35","542,916.97","812,776.59","2,914,524.62"
ene-08,"522,670.52","107,885.65","204,788.30","613,819.33","1,872,561.10"
feb-08,"126,941.22","234,830.10","545,139.83","500,922.23","2,073,812.52"
mar-08,"321,294.76","241,800.33","405,713.48","1,095,743.35","2,575,191.49"
abr-08,"296,531.95","271,554.27","570,256.98","682,042.07","2,687,756.07"
may-08,"506,589.79","242,628.16","424,954.88","710,464.76","2,969,531.73"
jun-08,"135,630.48","177,838.70","273,398.73","817,804.84","1,744,201.50"
jul-08,"365,117.62","232,129.20","384,549.70","541,486.15","2,283,549.57"
ago-08,"124,909.19","138,376.72","241,881.47","713,650.52","1,945,416.15"
sep-08,"290,330.74","290,621.26","423,244.17","544,521.54","1,999,461.12"
oct-08,"515,833.10","358,036.44","329,762.30","344,273.02","1,834,210.06"
nov-08,"304,780.71","170,365.32","386,365.05","809,439.42","2,184,295.83"
dic-08,"265,854.17","238,398.92","458,949.42","524,038.42","1,846,035.95"
ene-09,"440,807.21","202,484.53","382,300.56","941,535.71","2,651,976.41"
feb-09,"308,898.19","588,346.36","522,820.81","914,059.40","2,718,352.59"
mar-09,"116,357.43","298,459.25","626,630.99","893,473.80","2,249,909.01"
abr-09,"382,796.62","182,218.96","348,267.66","816,840.02","2,162,519.38"
may-09,"108,032.64","377,337.48","341,700.48","621,339.93","2,694,539.19"
jun-09,"439,954.52","363,676.29","589,337.79","735,260.51","2,793,073.40"
jul-09,"451,892.83","363,911.51","337,172.65","850,806.89","2,478,809.11"
ago-09,"151,179.48","210,495.68","476,525.36","842,742.17","2,214,516.47"
sep-09,"265,512.40","161,783.68","321,728.95","611,966.22","1,999,149.34"
oct-09,"294,299.57","375,067.23","639,524.61","869,366.31","2,786,998.37"
nov-09,"543,498.52","201,213.10","321,859.44","894,309.88","2,924,854.66"
dic-09,"121,256.64","291,525.48","435,416.18","1,144,960.66","2,618,068.03"
ene-10,"437,042.33","173,918.35","318,949.72","905,803.65","2,320,037.65"
feb-10,"410,846.40","336,005.72","492,452.55","447,271.92","2,156,824.40"
mar-10,"148,495.38","157,798.77","303,762.94","947,702.88","2,132,003.12"
abr-10,"410,001.10","433,108.23","562,996.07","613,011.21","2,833,628.23"
may-10,"230,584.60","279,926.95","429,729.38","1,086,036.16","2,610,192.35"
jun-10,"344,683.10","281,834.46","464,310.80","587,828.26","1,857,823.92"
jul-10,"461,977.95","241,994.24","456,588.39","712,889.93","2,478,724.40"
ago-10,"236,164.31","282,509.24","475,714.12","637,252.29","1,911,376.66"
sep-10,"144,381.79","208,796.02","321,134.56","741,721.42","1,571,045.29"
oct-10,"328,472.60","392,100.62","493,794.29","630,692.56","2,198,766.87"
nov-10,"540,671.88","139,547.73","241,062.76","565,627.54","1,882,491.18"
dic-10,"286,501.74","430,857.95","652,210.77","1,135,293.92","2,718,239.98"
ene-11,"511,518.14","253,700.82","391,997.54","1,033,948.69","2,696,174.73"
feb-11,"313,877.17","343,582.85","437,769.48","772,775.58","2,509,070.20"
mar-11,"297,190.31","291,087.16","445,920.27","707,536.31","1,923,832.85"
abr-11,"426,380.21","326,003.71","357,349.67","767,445.36","2,791,786.01"
may-11,"238,374.12","326,566.61","433,038.13","918,940.44","2,397,424.42"
jun-11,"345,196.29","230,990.13","354,604.94","553,883.42","2,332,150.13"
jul-11,"148,988.50","188,581.40","369,694.76","734,958.54","2,221,298.77"
ago-11,"565,627.93","201,844.49","270,765.31","1,014,324.28","2,384,817.25"
sep-11,"382,310.38","260,669.22","335,803.82","795,554.71","2,345,690.03"
oct-11,"319,091.05","239,711.91","351,555.66","612,133.26","1,764,086.81"
nov-11,"384,368.36","237,803.48","450,212.80","575,406.48","1,908,439.22"
dic-11,"141,052.55","367,820.54","534,925.36","732,921.03","2,088,955.39"
ene-12,"481,781.48","318,283.44","434,648.17","790,123.23","2,590,946.78"
feb-12,"162,561.29","253,583.96","372,893.49","887,963.98","1,984,217.75"
mar-12,"521,493.74","255,492.16","354,160.85","978,693.29","2,653,012.90"
abr-12,"131,958.40","189,948.79","399,701.69","697,871.28","1,877,720.75"
may-12,"510,506.81","241,786.29","380,531.85","833,370.09","2,648,568.61"
jun-12,"527,672.26","320,566.69","550,379.33","767,124.65","2,710,638.33"
jul-12,"165,424.21","142,232.47","271,509.20","1,021,995.90","1,975,801.33"
ago-12,"387,892.07","263,677.23","361,307.20","626,706.23","1,944,950.71"
sep-12,"530,897.79","201,347.56","372,989.29","619,651.27","2,114,828.97"
oct-12,"162,208.43","374,301.51","600,094.03","463,054.77","2,013,689.23"
nov-12,"569,345.86","197,398.80","359,818.54","538,552.89","2,308,418.04"
dic-12,"152,926.76","287,980.58","419,029.17","1,324,780.96","2,651,030.35"
ene-13,"575,318.45","396,416.84","433,924.69","749,266.68","2,723,791.82"
feb-13,"142,772.81","235,502.58","470,483.98","709,843.02","2,108,677.08"
mar-13,"569,013.24","439,386.62","429,974.17","832,627.57","2,529,437.15"
abr-13,"508,649.45","274,680.65","430,259.18","860,094.78","2,461,630.69"
may-13,"181,461.60","281,823.20","532,379.66","1,202,187.85","2,784,012.56"
jun-13,"536,847.17","293,808.60","284,038.03","729,711.88","2,488,553.89"
jul-13,"352,909.02","259,025.83","486,075.06","693,160.50","1,965,220.95"
ago-13,"359,346.00","221,433.20","347,066.11","505,133.44","2,047,346.36"
