FECHA,Tipo de Cambio,Superior,Regular,Diesel,Bunker,Glp Cilindro 25Lbs. GTQ/CIL 25 LB,Glp Cilindro 25Lbs. GTQ/LB
1-Jan-23,7.85222,32.55,30.99,33.75,15.99,122,4.88
2-Jan-23,7.85222,32.55,30.99,33.75,15.99,122,4.88
3-Jan-23,7.84773,32.56,31.42,35.31,16.39,122,4.88
4-Jan-23,7.84906,32.56,31.42,35.31,16.39,122,4.88
5-Jan-23,7.85221,32.56,31.42,35.31,16.39,122,4.88
6-Jan-23,7.84856,32.56,31.42,35.31,16.39,122,4.88
7-Jan-23,7.84856,32.56,31.42,35.31,16.39,122,4.88
8-Jan-23,7.84856,32.56,31.42,35.31,16.39,122,4.88
9-Jan-23,7.84628,33,31.6,35.98,16.39,122,4.88
10-Jan-23,7.84395,33,31.6,35.98,16.39,122,4.88
11-Jan-23,7.8488,33,31.6,35.98,16.39,122,4.88
12-Jan-23,7.85,33,31.6,35.98,16.39,122,4.88
13-Jan-23,7.84942,33,31.6,35.98,16.39,122,4.88
14-Jan-23,7.84942,33,31.6,35.98,16.39,122,4.88
15-Jan-23,7.84942,33,31.6,35.98,16.39,122,4.88
16-Jan-23,7.84319,33.96,32.58,35.96,15.99,122,4.88
17-Jan-23,7.84762,33.96,32.58,35.96,15.99,122,4.88
18-Jan-23,7.84834,33.96,32.58,35.96,15.99,122,4.88
19-Jan-23,7.85007,33.96,32.58,35.96,15.99,122,4.88
20-Jan-23,7.85078,33.96,32.58,35.96,15.99,122,4.88
21-Jan-23,7.85078,33.96,32.58,35.96,15.99,122,4.88
22-Jan-23,7.85078,33.96,32.58,35.96,15.99,122,4.88
23-Jan-23,7.84295,35.02,33.63,35.54,16.39,122,4.88
24-Jan-23,7.84379,35.02,33.63,35.54,16.39,122,4.88
25-Jan-23,7.84883,35.02,33.63,35.54,16.39,122,4.88
26-Jan-23,7.85069,35.02,33.63,35.54,16.39,122,4.88
27-Jan-23,7.85212,35.02,33.63,35.54,16.39,122,4.88
28-Jan-23,7.85212,35.02,33.63,35.54,16.39,122,4.88
29-Jan-23,7.85212,35.02,33.63,35.54,16.39,122,4.88
30-Jan-23,7.84886,35.66,34.26,36.18,16.23,122,4.88
31-Jan-23,7.84855,35.66,34.26,36.18,16.23,122,4.88
1-Feb-23,7.84957,35.66,34.26,36.18,16.23,135,5.4
2-Feb-23,7.84667,35.66,34.26,36.18,16.23,135,5.4
3-Feb-23,7.84714,35.66,34.26,36.18,16.23,135,5.4
4-Feb-23,7.84714,35.66,34.26,36.18,16.23,135,5.4
5-Feb-23,7.84714,35.66,34.26,36.18,16.23,135,5.4
6-Feb-23,7.84306,34.94,33.49,35.29,15.63,135,5.4
7-Feb-23,7.84298,34.94,33.49,35.29,15.63,135,5.4
8-Feb-23,7.84282,34.94,33.49,35.29,15.63,135,5.4
9-Feb-23,7.84208,34.94,33.49,35.29,15.63,135,5.4
10-Feb-23,7.83792,34.94,33.49,35.29,15.63,135,5.4
11-Feb-23,7.83792,34.94,33.49,35.29,15.63,135,5.4
12-Feb-23,7.83792,34.94,33.49,35.29,15.63,135,5.4
13-Feb-23,7.83567,34.23,32.74,33.54,16.39,135,5.4
14-Feb-23,7.83256,34.23,32.74,33.54,16.39,135,5.4
15-Feb-23,7.8313,34.23,32.74,33.54,16.39,135,5.4
16-Feb-23,7.82864,34.23,32.74,33.54,16.39,135,5.4
17-Feb-23,7.82638,34.23,32.74,33.54,16.39,135,5.4
18-Feb-23,7.82638,34.23,32.74,33.54,16.39,135,5.4
19-Feb-23,7.82638,34.23,32.74,33.54,16.39,135,5.4
20-Feb-23,7.81821,33.74,32.24,32.14,15.93,135,5.4
21-Feb-23,7.82129,33.74,32.24,32.14,15.93,135,5.4
22-Feb-23,7.81596,33.74,32.24,32.14,15.93,135,5.4
23-Feb-23,7.81696,33.74,32.24,32.14,15.93,135,5.4
24-Feb-23,7.8179,33.74,32.24,32.14,15.93,135,5.4
25-Feb-23,7.8179,33.74,32.24,32.14,15.93,135,5.4
26-Feb-23,7.8179,33.74,32.24,32.14,15.93,135,5.4
27-Feb-23,7.81549,33.33,31.84,31.11,15.58,135,5.4
28-Feb-23,7.81493,33.33,31.84,31.11,15.58,135,5.4
1-Mar-23,7.81525,33.33,31.84,31.11,15.58,135,5.4
2-Mar-23,7.81859,33.33,31.84,31.11,15.58,135,5.4
3-Mar-23,7.81359,33.33,31.84,31.11,15.58,135,5.4
4-Mar-23,7.81359,33.33,31.84,31.11,15.58,135,5.4
5-Mar-23,7.81359,33.33,31.84,31.11,15.58,135,5.4
6-Mar-23,7.81199,33.3,31.8,31,16.58,135,5.4
7-Mar-23,7.80397,33.3,31.8,31,16.58,135,5.4
8-Mar-23,7.80973,33.3,31.8,31,16.58,135,5.4
9-Mar-23,7.80754,33.3,31.8,31,16.58,135,5.4
10-Mar-23,7.80715,33.3,31.8,31,16.58,135,5.4
11-Mar-23,7.80715,33.3,31.8,31,16.58,135,5.4
12-Mar-23,7.80715,33.3,31.8,31,16.58,135,5.4
13-Mar-23,7.79947,33.77,32.18,31.01,16.82,135,5.4
14-Mar-23,7.79731,33.77,32.18,31.01,16.82,135,5.4
15-Mar-23,7.79834,33.77,32.18,31.01,16.82,135,5.4
16-Mar-23,7.80412,33.77,32.18,31.01,16.82,115,4.6
17-Mar-23,7.80243,33.77,32.18,31.01,16.82,115,4.6
18-Mar-23,7.80243,33.77,32.18,31.01,16.82,115,4.6
19-Mar-23,7.80243,33.77,32.18,31.01,16.82,115,4.6
20-Mar-23,7.79631,33.04,31.45,30.63,15.82,115,4.6
21-Mar-23,7.79352,33.04,31.45,30.63,15.82,115,4.6
22-Mar-23,7.80256,33.04,31.45,30.63,15.82,115,4.6
23-Mar-23,7.80387,33.04,31.45,30.63,15.82,115,4.6
24-Mar-23,7.80518,33.04,31.45,30.63,15.82,115,4.6
25-Mar-23,7.80518,33.04,31.45,30.63,15.82,115,4.6
26-Mar-23,7.80518,33.04,31.45,30.63,15.82,115,4.6
27-Mar-23,7.79869,33.49,31.88,30.01,16.12,115,4.6
28-Mar-23,7.79912,33.49,31.88,30.01,16.12,115,4.6
29-Mar-23,7.80317,33.49,31.88,30.01,16.12,115,4.6
30-Mar-23,7.80234,33.49,31.88,30.01,16.12,115,4.6
31-Mar-23,7.80335,33.49,31.88,30.01,16.12,115,4.6
1-Apr-23,7.80335,33.49,31.88,30.01,16.12,115,4.6
2-Apr-23,7.80335,33.49,31.88,30.01,16.12,115,4.6
3-Apr-23,7.79691,34.46,32.86,30.02,17.62,115,4.6
4-Apr-23,7.79431,34.46,32.86,30.02,17.62,115,4.6
5-Apr-23,7.79329,34.46,32.86,30.02,17.62,115,4.6
6-Apr-23,7.79329,34.46,32.86,30.02,17.62,115,4.6
7-Apr-23,7.79329,34.46,32.86,30.02,17.62,115,4.6
8-Apr-23,7.79329,34.46,32.86,30.02,17.62,115,4.6
9-Apr-23,7.79329,34.46,32.86,30.02,17.62,115,4.6
10-Apr-23,7.79921,34.99,33.4,30,18.82,115,4.6
11-Apr-23,7.79501,34.99,33.4,30,18.82,115,4.6
12-Apr-23,7.79866,34.99,33.4,30,18.82,115,4.6
13-Apr-23,7.79625,34.99,33.4,30,18.82,115,4.6
14-Apr-23,7.80261,34.99,33.4,30,18.82,115,4.6
15-Apr-23,7.80261,34.99,33.4,30,18.82,115,4.6
16-Apr-23,7.80261,34.99,33.4,30,18.82,115,4.6
17-Apr-23,7.8006,35.98,34.36,29.78,19.12,115,4.6
18-Apr-23,7.7967,35.98,34.36,29.78,19.12,115,4.6
19-Apr-23,7.79898,35.98,34.36,29.78,19.12,115,4.6
20-Apr-23,7.79925,35.98,34.36,29.78,19.12,115,4.6
21-Apr-23,7.79964,35.98,34.36,29.78,19.12,115,4.6
22-Apr-23,7.79964,35.98,34.36,29.78,19.12,115,4.6
23-Apr-23,7.79964,35.98,34.36,29.78,19.12,115,4.6
24-Apr-23,7.79702,35.91,34.31,29.32,18.67,115,4.6
25-Apr-23,7.79572,35.91,34.31,29.32,18.67,115,4.6
26-Apr-23,7.80198,35.91,34.31,29.32,18.67,115,4.6
27-Apr-23,7.80424,35.91,34.31,29.32,18.67,115,4.6
28-Apr-23,7.80826,35.91,34.31,29.32,18.67,115,4.6
29-Apr-23,7.80826,35.91,34.31,29.32,18.67,115,4.6
30-Apr-23,7.80826,35.91,34.31,29.32,18.67,115,4.6
1-May-23,7.80826,35.91,34.31,29.32,18.67,115,4.6
2-May-23,7.80055,35.08,33.46,28.43,17.67,115,4.6
3-May-23,7.80673,35.08,33.46,28.43,17.67,115,4.6
4-May-23,7.80938,35.08,33.46,28.43,17.67,115,4.6
5-May-23,7.80739,35.08,33.46,28.43,17.67,115,4.6
6-May-23,7.80739,35.08,33.46,28.43,17.67,115,4.6
7-May-23,7.80739,35.08,33.46,28.43,17.67,115,4.6
8-May-23,7.8028,34.31,32.8,27.68,16.47,115,4.6
9-May-23,7.80568,34.31,32.8,27.68,16.47,115,4.6
10-May-23,7.80601,34.31,32.8,27.68,16.47,115,4.6
11-May-23,7.80379,34.31,32.8,27.68,16.47,115,4.6
12-May-23,7.80649,34.31,32.8,27.68,16.47,115,4.6
13-May-23,7.80649,34.31,32.8,27.68,16.47,115,4.6
14-May-23,7.80649,34.31,32.8,27.68,16.47,115,4.6
15-May-23,7.80223,33.49,31.98,27.02,16.97,115,4.6
16-May-23,7.80323,33.49,31.98,27.02,16.97,115,4.6
17-May-23,7.80156,33.49,31.98,27.02,16.97,115,4.6
18-May-23,7.80495,33.49,31.98,27.02,16.97,115,4.6
19-May-23,7.80399,33.49,31.98,27.02,16.97,115,4.6
20-May-23,7.80399,33.49,31.98,27.02,16.97,115,4.6
21-May-23,7.80399,33.49,31.98,27.02,16.97,115,4.6
22-May-23,7.80453,33.35,31.97,27.01,17.17,115,4.6
23-May-23,7.80354,33.35,31.97,27.01,17.17,115,4.6
24-May-23,7.80974,33.35,31.97,27.01,17.17,115,4.6
25-May-23,7.81685,33.35,31.97,27.01,17.17,115,4.6
26-May-23,7.82145,33.35,31.97,27.01,17.17,115,4.6
27-May-23,7.82145,33.35,31.97,27.01,17.17,115,4.6
28-May-23,7.82145,33.35,31.97,27.01,17.17,115,4.6
29-May-23,7.82029,33.3,31.99,27,16.67,115,4.6
30-May-23,7.82886,33.3,31.99,27,16.67,115,4.6
31-May-23,7.83014,33.3,31.99,27,16.67,115,4.6
1-Jun-23,7.8366,33.3,31.99,27,16.67,115,4.6
2-Jun-23,7.83809,33.3,31.99,27,16.67,115,4.6
3-Jun-23,7.83809,33.3,31.99,27,16.67,115,4.6
4-Jun-23,7.83809,33.3,31.99,27,16.67,115,4.6
5-Jun-23,7.82959,33.3,31.97,26.56,16.67,115,4.6
6-Jun-23,7.82919,33.3,31.97,26.56,16.67,115,4.6
7-Jun-23,7.83743,33.3,31.97,26.56,16.67,115,4.6
8-Jun-23,7.83755,33.3,31.97,26.56,16.67,115,4.6
9-Jun-23,7.83852,33.3,31.97,26.56,16.67,115,4.6
10-Jun-23,7.83852,33.3,31.97,26.56,16.67,115,4.6
11-Jun-23,7.83852,33.3,31.97,26.56,16.67,115,4.6
12-Jun-23,7.83317,33.1,31.78,26.3,17.52,115,4.6
13-Jun-23,7.83321,33.1,31.78,26.3,17.52,115,4.6
14-Jun-23,7.83379,33.1,31.78,26.3,17.52,115,4.6
15-Jun-23,7.83909,33.1,31.78,26.3,17.52,115,4.6
16-Jun-23,7.83924,33.1,31.78,26.3,17.52,135,5.4
17-Jun-23,7.83924,33.1,31.78,26.3,17.52,135,5.4
18-Jun-23,7.83924,33.1,31.78,26.3,17.52,135,5.4
19-Jun-23,7.83373,33.08,31.79,26.25,18.82,135,5.4
20-Jun-23,7.84215,33.08,31.79,26.25,18.82,135,5.4
21-Jun-23,7.8377,33.08,31.79,26.25,18.82,135,5.4
22-Jun-23,7.83963,33.08,31.79,26.25,18.82,135,5.4
23-Jun-23,7.84308,33.08,31.79,26.25,18.82,135,5.4
24-Jun-23,7.84308,33.08,31.79,26.25,18.82,135,5.4
25-Jun-23,7.84308,33.08,31.79,26.25,18.82,135,5.4
26-Jun-23,7.83445,33.08,31.79,26.25,18.82,135,5.4
27-Jun-23,7.84069,34.16,32.66,27,18.82,135,5.4
28-Jun-23,7.84326,34.16,32.66,27,18.82,135,5.4
29-Jun-23,7.84576,34.16,32.66,27,18.82,135,5.4
